step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
191,19.1,6.685528,10.847978,1.586422,6.685528,10.847978,1.586422,0.0,0.0
192,19.2,6.682342,10.907893,1.623922,6.682342,10.907893,1.623922,0.0,0.0
193,19.3,6.676912,10.967647,1.661422,6.676912,10.967647,1.661422,0.0,0.0
194,19.4,6.669245,11.027155,1.698922,6.669245,11.027155,1.698922,0.0,0.0
195,19.5,6.659353,11.086334,1.736422,6.659353,11.086334,1.736422,0.0,0.0
196,19.6,6.647249,11.145101,1.773922,6.647249,11.145101,1.773922,0.0,0.0
197,19.7,6.632951,11.203372,1.811422,6.632951,11.203372,1.811422,0.0,0.0
198,19.8,6.616478,11.261066,1.848922,6.616478,11.261066,1.848922,0.0,0.0
199,19.9,6.597853,11.318102,1.886422,6.597853,11.318102,1.886422,0.0,0.0
200,20.0,6.577103,11.3744,1.923922,6.577103,11.3744,1.923922,0.0,0.0
201,20.1,6.554257,11.429881,1.961422,6.554257,11.429881,1.961422,0.0,0.0
202,20.2,6.529347,11.484465,1.998922,6.529347,11.484465,1.998922,0.0,0.0
203,20.3,6.502408,11.538078,2.036422,6.502408,11.538078,2.036422,0.0,0.0
204,20.4,6.473478,11.590643,2.073922,6.473478,11.590643,2.073922,0.0,0.0
205,20.5,6.442598,11.642086,2.111422,6.442598,11.642086,2.111422,0.0,0.0
206,20.6,6.40981,11.692335,2.148922,6.40981,11.692335,2.148922,0.0,0.0
207,20.7,6.375162,11.74132,2.186422,6.375162,11.74132,2.186422,0.0,0.0
208,20.8,6.338702,11.788971,2.223922,6.338702,11.788971,2.223922,0.0,0.0
209,20.9,6.300481,11.835222,2.261422,6.300481,11.835222,2.261422,0.0,0.0
210,21.0,6.260553,11.880007,2.298922,6.260553,11.880007,2.298922,0.0,0.0
211,21.1,6.218973,11.923264,2.336422,6.218973,11.923264,2.336422,0.0,0.0
212,21.2,6.175801,11.964932,2.373922,6.175801,11.964932,2.373922,0.0,0.0
213,21.3,6.131098,12.004952,2.411422,6.131098,12.004952,2.411422,0.0,0.0
214,21.4,6.084925,12.043267,2.448922,6.084925,12.043267,2.448922,0.0,0.0
215,21.5,6.037349,12.079825,2.486422,6.037349,12.079825,2.486422,0.0,0.0
216,21.6,5.988435,12.114573,2.523922,5.988435,12.114573,2.523922,0.0,0.0
217,21.7,5.938253,12.147463,2.561422,5.938253,12.147463,2.561422,0.0,0.0
218,21.8,5.886873,12.178449,2.598922,5.886873,12.178449,2.598922,0.0,0.0
219,21.9,5.834367,12.207486,2.636422,5.834367,12.207486,2.636422,0.0,0.0
220,22.0,5.78081,12.234535,2.673922,5.78081,12.234535,2.673922,0.0,0.0
221,22.1,5.726276,12.259556,2.711422,5.726276,12.259556,2.711422,0.0,0.0
222,22.2,5.670843,12.282516,2.748922,5.670843,12.282516,2.748922,0.0,0.0
223,22.3,5.614588,12.303381,2.786422,5.614588,12.303381,2.786422,0.0,0.0
224,22.4,5.55759,12.322122,2.823922,5.55759,12.322122,2.823922,0.0,0.0
225,22.5,5.499929,12.338713,2.861422,5.499929,12.338713,2.861422,0.0,0.0
226,22.6,5.441687,12.353131,2.898922,5.441687,12.353131,2.898922,0.0,0.0
227,22.7,5.382946,12.365355,2.936422,5.382946,12.365355,2.936422,0.0,0.0
228,22.8,5.323787,12.375368,2.973922,5.323787,12.375368,2.973922,0.0,0.0
229,22.9,5.264295,12.383157,3.011422,5.264295,12.383157,3.011422,0.0,0.0
230,23.0,5.204552,12.388709,3.048922,5.204552,12.388709,3.048922,0.0,0.0
231,23.1,5.144643,12.392017,3.086422,5.144643,12.392017,3.086422,0.0,0.0
232,23.2,5.084653,12.393078,3.123922,5.084653,12.393078,3.123922,0.0,0.0
233,23.3,5.024665,12.391888,-3.121763,5.024665,12.391888,-3.121763,0.0,0.0
234,23.4,4.964763,12.38845,-3.084263,4.964763,12.38845,-3.084263,0.0,0.0
235,23.5,4.905033,12.382769,-3.046763,4.905033,12.382769,-3.046763,0.0,0.0
236,23.6,4.845557,12.374852,-3.009263,4.845557,12.374852,-3.009263,0.0,0.0
237,23.7,4.78642,12.364711,-2.971763,4.78642,12.364711,-2.971763,0.0,0.0
238,23.8,4.727705,12.352361,-2.934263,4.727705,12.352361,-2.934263,0.0,0.0
239,23.9,4.669495,12.337817,-2.896763,4.669495,12.337817,-2.896763,0.0,0.0
240,24.0,4.61187,12.321101,-2.859263,4.61187,12.321101,-2.859263,0.0,0.0
241,24.1,4.554913,12.302237,-2.821763,4.554913,12.302237,-2.821763,0.0,0.0
242,24.2,4.498703,12.281251,-2.784263,4.498703,12.281251,-2.784263,0.0,0.0
243,24.3,4.443319,12.258172,-2.746763,4.443319,12.258172,-2.746763,0.0,0.0
244,24.4,4.388839,12.233033,-2.709263,4.388839,12.233033,-2.709263,0.0,0.0
245,24.5,4.335341,12.205869,-2.671763,4.335341,12.205869,-2.671763,0.0,0.0
246,24.6,4.282898,12.176718,-2.634263,4.282898,12.176718,-2.634263,0.0,0.0
247,24.7,4.231585,12.145622,-2.596763,4.231585,12.145622,-2.596763,0.0,0.0
248,24.8,4.181474,12.112623,-2.559263,4.181474,12.112623,-2.559263,0.0,0.0
249,24.9,4.132635,12.07777,-2.521763,4.132635,12.07777,-2.521763,0.0,0.0
250,25.0,4.085138,12.041109,-2.484263,4.085138,12.041109,-2.484263,0.0,0.0
251,25.1,4.039048,12.002694,-2.446763,4.039048,12.002694,-2.446763,0.0,0.0
252,25.2,3.994431,11.962578,-2.409263,3.994431,11.962578,-2.409263,0.0,0.0
253,25.3,3.951349,11.920817,-2.371763,3.951349,11.920817,-2.371763,0.0,0.0
254,25.4,3.909863,11.87747,-2.334263,3.909863,11.87747,-2.334263,0.0,0.0
255,25.5,3.870032,11.832599,-2.296763,3.870032,11.832599,-2.296763,0.0,0.0
256,25.6,3.83191,11.786266,-2.259263,3.83191,11.786266,-2.259263,0.0,0.0
257,25.7,3.795553,11.738536,-2.221763,3.795553,11.738536,-2.221763,0.0,0.0
258,25.8,3.761011,11.689476,-2.184263,3.761011,11.689476,-2.184263,0.0,0.0
259,25.9,3.728332,11.639156,-2.146763,3.728332,11.639156,-2.146763,0.0,0.0
260,26.0,3.697563,11.587647,-2.109263,3.697563,11.587647,-2.109263,0.0,0.0
261,26.1,3.668746,11.53502,-2.071763,3.668746,11.53502,-2.071763,0.0,0.0
262,26.2,3.641923,11.481349,-2.034263,3.641923,11.481349,-2.034263,0.0,0.0
263,26.3,3.617131,11.426711,-1.996763,3.617131,11.426711,-1.996763,0.0,0.0
264,26.4,3.594405,11.371181,-1.959263,3.594405,11.371181,-1.959263,0.0,0.0
265,26.5,3.573776,11.314839,-1.921763,3.573776,11.314839,-1.921763,0.0,0.0
266,26.6,3.555275,11.257763,-1.884263,3.555275,11.257763,-1.884263,0.0,0.0
267,26.7,3.538926,11.200033,-1.846763,3.538926,11.200033,-1.846763,0.0,0.0
268,26.8,3.524753,11.141731,-1.809263,3.524753,11.141731,-1.809263,0.0,0.0
269,26.9,3.512776,11.082938,-1.771763,3.512776,11.082938,-1.771763,0.0,0.0
270,27.0,3.503012,11.023738,-1.734263,3.503012,11.023738,-1.734263,0.0,0.0
271,27.1,3.495474,10.964214,-1.696763,3.495474,10.964214,-1.696763,0.0,0.0
272,27.2,3.490173,10.904448,-1.659263,3.490173,10.904448,-1.659263,0.0,0.0
273,27.3,3.487116,10.844526,-1.621763,3.487116,10.844526,-1.621763,0.0,0.0
274,27.4,3.486308,10.784532,-1.584263,3.486308,10.784532,-1.584263,0.0,0.0
275,27.5,3.48775,10.724549,-1.546763,3.48775,10.724549,-1.546763,0.0,0.0
276,27.6,3.49144,10.664662,-1.509263,3.49144,10.664662,-1.509263,0.0,0.0
277,27.7,3.497372,10.604956,-1.471763,3.497372,10.604956,-1.471763,0.0,0.0
278,27.8,3.505538,10.545515,-1.434263,3.505538,10.545515,-1.434263,0.0,0.0
279,27.9,3.515928,10.486421,-1.396763,3.515928,10.486421,-1.396763,0.0,0.0
280,28.0,3.528525,10.427759,-1.359263,3.528525,10.427759,-1.359263,0.0,0.0
281,28.1,3.543313,10.369609,-1.321763,3.543313,10.369609,-1.321763,0.0,0.0
282,28.2,3.560271,10.312056,-1.284263,3.560271,10.312056,-1.284263,0.0,0.0
283,28.3,3.579375,10.255178,-1.246763,3.579375,10.255178,-1.246763,0.0,0.0
284,28.4,3.600597,10.199057,-1.209263,3.600597,10.199057,-1.209263,0.0,0.0
285,28.5,3.623909,10.143771,-1.171763,3.623909,10.143771,-1.171763,0.0,0.0
286,28.6,3.649277,10.089397,-1.134263,3.649277,10.089397,-1.134263,0.0,0.0
287,28.7,3.676665,10.036013,-1.096763,3.676665,10.036013,-1.096763,0.0,0.0
288,28.8,3.706036,9.983693,-1.059263,3.706036,9.983693,-1.059263,0.0,0.0
289,28.9,3.737348,9.932512,-1.021763,3.737348,9.932512,-1.021763,0.0,0.0
290,29.0,3.770557,9.88254,-0.984263,3.770557,9.88254,-0.984263,0.0,0.0
291,29.1,3.805615,9.833848,-0.946763,3.805615,9.833848,-0.946763,0.0,0.0
292,29.2,3.842475,9.786505,-0.909263,3.842475,9.786505,-0.909263,0.0,0.0
293,29.3,3.881084,9.740577,-0.871763,3.881084,9.740577,-0.871763,0.0,0.0
294,29.4,3.921387,9.696129,-0.834263,3.921387,9.696129,-0.834263,0.0,0.0
295,29.5,3.963329,9.653223,-0.796763,3.963329,9.653223,-0.796763,0.0,0.0
296,29.6,4.006849,9.61192,-0.759263,4.006849,9.61192,-0.759263,0.0,0.0
297,29.7,4.051888,9.572277,-0.721763,4.051888,9.572277,-0.721763,0.0,0.0
298,29.8,4.098381,9.534351,-0.684263,4.098381,9.534351,-0.684263,0.0,0.0
299,29.9,4.146263,9.498195,-0.646763,4.146263,9.498195,-0.646763,0.0,0.0
300,30.0,4.195467,9.463859,-0.609263,4.195467,9.463859,-0.609263,0.0,0.0
301,30.1,4.245924,9.431392,-0.571763,4.245924,9.431392,-0.571763,0.0,0.0
302,30.2,4.297563,9.40084,-0.534263,4.297563,9.40084,-0.534263,0.0,0.0
303,30.3,4.350311,9.372245,-0.496763,4.350311,9.372245,-0.496763,0.0,0.0
304,30.4,4.404093,9.345647,-0.459263,4.404093,9.345647,-0.459263,0.0,0.0
305,30.5,4.458835,9.321085,-0.421763,4.458835,9.321085,-0.421763,0.0,0.0
306,30.6,4.51446,9.298592,-0.384263,4.51446,9.298592,-0.384263,0.0,0.0
