step,t_s,truth_x,truth_y,truth_theta,odom_x,odom_y,odom_theta,err_xy,err_yaw_deg
182,18.2,6.613523,10.315351,1.248922,6.705921,10.819233,1.56432,0.512284,-18.071
183,18.3,6.630356,10.372941,1.286422,6.703836,10.880776,1.60466,0.513123,-18.2337
184,18.4,6.645019,10.431122,1.323922,6.699301,10.943215,1.643306,0.514962,-18.2993
185,18.5,6.657489,10.489812,1.361422,6.692531,11.004827,1.680244,0.516206,-18.2671
186,18.6,6.667751,10.548928,1.398922,6.683745,11.062834,1.721108,0.514155,-18.4599
187,18.7,6.675789,10.608387,1.436422,6.67195,11.124135,1.760889,0.515763,-18.5906
188,18.8,6.681593,10.668105,1.473922,6.657146,11.188459,1.797014,0.520927,-18.5118
189,18.9,6.685153,10.728,1.511422,6.641207,11.246975,1.836718,0.520832,-18.6381
190,19.0,6.686466,10.787985,1.548922,6.621961,11.308197,1.875386,0.524196,-18.705
191,19.1,6.685528,10.847978,1.586422,6.59965,11.370405,1.915155,0.529438,-18.835
192,19.2,6.682342,10.907893,1.623922,6.577523,11.425486,1.952785,0.5281,-18.8425
193,19.3,6.676912,10.967647,1.661422,6.550715,11.485157,1.99303,0.532675,-18.9997
194,19.4,6.669245,11.027155,1.698922,6.525064,11.536398,2.034932,0.529261,-19.2519
195,19.5,6.659353,11.086334,1.736422,6.493657,11.593072,2.076826,0.53314,-19.5037
196,19.6,6.647249,11.145101,1.773922,6.461602,11.645966,2.115646,0.534163,-19.5794
197,19.7,6.632951,11.203372,1.811422,6.428482,11.69554,2.159778,0.532952,-19.9593
198,19.8,6.616478,11.261066,1.848922,6.391608,11.745972,2.202129,0.534509,-20.2373
199,19.9,6.597853,11.318102,1.886422,6.353644,11.793792,2.241812,0.534714,-20.3623
200,20.0,6.577103,11.3744,1.923922,6.315861,11.837779,2.280469,0.531946,-20.4286
201,20.1,6.554257,11.429881,1.961422,6.271065,11.886183,2.317497,0.537037,-20.4016
202,20.2,6.529347,11.484465,1.998922,6.224182,11.932943,2.357504,0.542456,-20.5452
203,20.3,6.502408,11.538078,2.036422,6.1802,11.973561,2.395939,0.541723,-20.5988
204,20.4,6.473478,11.590643,2.073922,6.133322,12.013559,2.435221,0.542738,-20.7009
205,20.5,6.442598,11.642086,2.111422,6.085147,12.051613,2.473045,0.543584,-20.7195
206,20.6,6.40981,11.692335,2.148922,6.03502,12.088245,2.510494,0.545173,-20.7166
207,20.7,6.375162,11.74132,2.186422,5.985945,12.121233,2.549779,0.543897,-20.8188
208,20.8,6.338702,11.788971,2.223922,5.93016,12.155843,2.586286,0.549091,-20.7619
209,20.9,6.300481,11.835222,2.261422,5.87539,12.186996,2.624443,0.551767,-20.7996
210,21.0,6.260553,11.880007,2.298922,5.822003,12.21453,2.665418,0.551571,-20.9987
211,21.1,6.218973,11.923264,2.336422,5.766254,12.240368,2.707602,0.552729,-21.2671
212,21.2,6.175801,11.964932,2.373922,5.710239,12.263648,2.747702,0.553154,-21.416
213,21.3,6.131098,12.004952,2.411422,5.651827,12.285364,2.785663,0.555276,-21.4424
214,21.4,6.084925,12.043267,2.448922,5.590287,12.305542,2.824747,0.55987,-21.5332
215,21.5,6.037349,12.079825,2.486422,5.527958,12.3233,2.864034,0.564587,-21.6356
216,21.6,5.988435,12.114573,2.523922,5.469905,12.337407,2.903217,0.564383,-21.732
217,21.7,5.938253,12.147463,2.561422,5.407973,12.349781,2.944389,0.567564,-21.9424
218,21.8,5.886873,12.178449,2.598922,5.348442,12.35926,2.983691,0.567979,-22.0456
219,21.9,5.834367,12.207486,2.636422,5.291005,12.366029,3.024287,0.566019,-22.2231
220,22.0,5.78081,12.234535,2.673922,5.231447,12.370883,3.060275,0.56603,-22.1364
221,22.1,5.726276,12.259556,2.711422,5.168675,12.373387,3.101724,0.569102,-22.3626
222,22.2,5.670843,12.282516,2.748922,5.110248,12.373535,3.139058,0.567936,-22.3532
223,22.3,5.614588,12.303381,2.786422,5.049515,12.371425,-3.10687,0.569155,-22.3393
224,22.4,5.55759,12.322122,2.823922,4.985545,12.366774,-3.069008,0.573785,-22.36
225,22.5,5.499929,12.338713,2.861422,4.925098,12.359911,-3.02854,0.575222,-22.5301
226,22.6,5.441687,12.353131,2.898922,4.865076,12.35064,-2.988353,0.576616,-22.684
227,22.7,5.382946,12.365355,2.936422,4.806076,12.339272,-2.951251,0.577459,-22.6612
228,22.8,5.323787,12.375368,2.973922,4.750138,12.325986,-2.908386,0.57577,-22.9686
229,22.9,5.264295,12.383157,3.011422,4.690397,12.309256,-2.868554,0.578636,-23.1022
